id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
40	hai ci (2019)	"<table><tr><td>Authors:</td><td>hai ci; chunyu wang; xiaoxuan ma; yizhou wang</td></tr><tr><td>Title:</td><td>optimizing network structure for 3d human pose estimation</td></tr><tr><td>Source:</td><td>2019 ieee/cvf international conference on computer vision (iccv)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/442928cd95d7bca15800b29ce2e2f8db5461bd58	-0.9226	-0.0408	7	1	67	0.9135	2019	67	0.9135
43	lifeng fan (2019)	"<table><tr><td>Authors:</td><td>lifeng fan; wenguan wang; siyuan huang; x. tang; song-chun zhu</td></tr><tr><td>Title:</td><td>understanding human gaze communication by spatio-temporal graph reasoning</td></tr><tr><td>Source:</td><td>2019 ieee/cvf international conference on computer vision (iccv)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/c218c23acb688e4157c907882a95b013fa6bbcbe	0.8344	-0.0882	5	2	48	0.6544	2019	48	0.6544
45	wenguan wang (2019)	"<table><tr><td>Authors:</td><td>wenguan wang; xiankai lu; jianbing shen; david j. crandall; l. shao</td></tr><tr><td>Title:</td><td>zero-shot video object segmentation via attentive graph neural networks</td></tr><tr><td>Source:</td><td>2019 ieee/cvf international conference on computer vision (iccv)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/8e16fd9bace78ac87b9c35a7fbaf5d725cd35b53	-0.3353	0.0543	6	3	136	1.8543	2019	136	1.8543
46	m. suhail (2019)	"<table><tr><td>Authors:</td><td>m. suhail; l. sigal</td></tr><tr><td>Title:</td><td>mixture-kernel graph attention network for situation recognition</td></tr><tr><td>Source:</td><td>2019 ieee/cvf international conference on computer vision (iccv)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/129173467de277e538766a882af144a2857c3580	0.8002	-0.319	5	1	13	0.1772	2019	13	0.1772
54	tuomas p. oikarinen (2020)	"<table><tr><td>Authors:</td><td>tuomas p. oikarinen; daniel c. hannah; sohrob kazerounian</td></tr><tr><td>Title:</td><td>graphmdn: leveraging graph structure and deep learning to solve inverse problems</td></tr><tr><td>Source:</td><td>2021 international joint conference on neural networks (ijcnn)</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://www.semanticscholar.org/paper/c5f33ed9c1a6f54163251b4d2e1a1c06e5c52276	-0.8961	-0.0369	7	2	3	0.1555	2020	3	0.1555
58	p. ghosh (2018)	"<table><tr><td>Authors:</td><td>p. ghosh; yi yao; l. davis; ajay divakaran</td></tr><tr><td>Title:</td><td>stacked spatio-temporal graph convolutional networks for action segmentation</td></tr><tr><td>Source:</td><td>2020 ieee winter conference on applications of computer vision (wacv)</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://www.semanticscholar.org/paper/3efc52b9a5190f7f24febb01a969bfdeb804e5fe	0.5142	-0.2412	5	2	34	0.1295	2018	34	0.1295
59	dong liu (2019)	"<table><tr><td>Authors:</td><td>dong liu; r. puri; nagendra kamath; subhabrata bhattacharya</td></tr><tr><td>Title:</td><td>composition-aware image aesthetics assessment</td></tr><tr><td>Source:</td><td>2020 ieee winter conference on applications of computer vision (wacv)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/cf220d3415f5a48305e693a58130821224a7d46f	0.0116	-0.1852	2	1	18	0.2454	2019	18	0.2454
61	junqin huang (2020)	"<table><tr><td>Authors:</td><td>junqin huang; zhenhuan huang; xiang xiang; xuan gong; baochang zhang</td></tr><tr><td>Title:</td><td>long-short graph memory network for skeleton-based action recognition</td></tr><tr><td>Source:</td><td>2020 ieee winter conference on applications of computer vision (wacv)</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://www.semanticscholar.org/paper/2055f72d3c37f8bfcf1f29dd4f77736ec5c65ab0	0.859	-0.276	5	1	8	0.4146	2020	8	0.4146
62	gang li (2020)	"<table><tr><td>Authors:</td><td>gang li; jian li; shanshan zhang; jian yang</td></tr><tr><td>Title:</td><td>learning hierarchical graph for occluded pedestrian detection</td></tr><tr><td>Source:</td><td>acm multimedia</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://www.semanticscholar.org/paper/20f499b7dfbc3f1f219099ac2c35f40e8ca06f13	-0.262	0.3228	3	1	3	0.1555	2020	3	0.1555
64	jingjing chen (2020)	"<table><tr><td>Authors:</td><td>jingjing chen; liangming pan; zhipeng wei; xiang wang; c. ngo; tat-seng chua</td></tr><tr><td>Title:</td><td>zero-shot ingredient recognition by multi-relational graph convolutional network</td></tr><tr><td>Source:</td><td>aaai</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://www.semanticscholar.org/paper/67b607a9d157ac546a5dc2298e79ea4cbb289e2b	0.9365	0.2117	1	1	16	0.8293	2020	16	0.8293
65	linjiang huang (2020)	"<table><tr><td>Authors:</td><td>linjiang huang; yan huang; wanli ouyang; liang wang</td></tr><tr><td>Title:</td><td>part-level graph convolutional network for skeleton-based action recognition</td></tr><tr><td>Source:</td><td>aaai</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://www.semanticscholar.org/paper/0e648faa3fb229b52fb97bfc9016d3419fae45de	0.988	-0.4334	8	1	21	1.0884	2020	21	1.0884
66	pin jiang (2020)	"<table><tr><td>Authors:</td><td>pin jiang; yahong han</td></tr><tr><td>Title:</td><td>reasoning with heterogeneous graph alignment for video question answering</td></tr><tr><td>Source:</td><td>aaai</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://www.semanticscholar.org/paper/f964563dbc1067a4965fda6b7dbd23c4f5d56018	-0.0499	-0.2475	2	1	38	1.9695	2020	38	1.9695
